halId_s,uri_s,title_s,authFullName_s,producedDate_s,producedDateY_i,journalTitle_s,conferenceTitle_s,country_s
hal-04309226,https://hal.science/hal-04309226v1,Building a Corpus for Biomedical Relation Extraction of Species Mentions,"Oumaima El Khettari,Solen Quiniou,Samuel Chaffron",2023-07,2023,,The 22nd Workshop on Biomedical Natural Language Processing and BioNLP Shared Tasks,ca
hal-04138121,https://hal.science/hal-04138121v1,Enhancing Pre-Trained Language Models with Sentence Position Embeddings for Rhetorical Roles Recognition in Legal Opinions,"Anas Belfathi,Nicolas Hernandez,Laura Monceaux",2023-06-23,2023,,6th Workshop on Automated Semantic Analysis of Information in Legal Text (ASAIL) held online in conjunction with 19th International Conference on Artificial Intelligence and Law (ICAIL),pt
tel-04137160,https://theses.hal.science/tel-04137160v1,"Analyse et indexation de textes scientifiques,Analysing and indexing scientific texts",Florian Boudin,2023-06-20,2023,,,
hal-04108258,https://hal.science/hal-04108258v2,"Enseigner SQL en NSI,Teaching SQL","Emmanuel Desmontils,Laura Monceaux",2023-06-13,2023,,"11éme Conférence Environnements Informatiques pour l’Apprentissage Humain (EIAH 2023 ) -Atelier ""Apprentissage de la pensée informatique de la maternelle à l'Université : mise à l'épreuve des dispositifs et outils""",fr
hal-04144210,https://hal.science/hal-04144210v1,Enseigner SQL en NSI,"Emmanuel Desmontils,Laura Monceaux",2023-06-12,2023,,"Atelier « Apprendre la Pensée Informatique de la Maternelle à l'Université », dans le cadre de la conférence Environnements Informatiques pour l'Apprentissage Humain (EIAH)",fr
hal-04131600,https://hal.science/hal-04131600v1,"La pré-annotation automatique de textes cliniques comme support au dialogue avec les experts du domaine lors de la mise au point d'un schéma d'annotation,Automatic pre-annotation of clinical texts to support the dialogue with domain experts during the design of an annotation schema","Virgile Barthet,Marie José Aroulanda,Laura Monceaux-Cachard,Christine Jacquin,Cyril Grouin,Johann Gutton,Guillaume Hocquet,Pascal de Groote,Michel Komajda,Emmanuel Morin,Pierre Zweigenbaum",2023-06-05,2023,,"Atelier ARTS, 18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues",fr
hal-04125879,https://hal.science/hal-04125879v1,"MORFITT : A multi-label corpus of French scientific articles in the biomedical domain,MORFITT : Un corpus multi-labels d'articles scientifiques français dans le domaine biomédical","Yanis Labrak,Mickaël Rouvier,Richard Dufour",2023-06-05,2023,,30e Conférence sur le Traitement Automatique des Langues Naturelles (TALN) Atelier sur l'Analyse et la Recherche de Textes Scientifiques,fr
hal-04122594,https://hal.science/hal-04122594v1,CASIMIR : un Corpus d’Articles Scientifiques Intégrant les ModIfications et Révisions des auteurs,"Léane Jourdan,Richard Dufour,Nicolas Hernandez,Florian Boudin",2023-06-05,2023,,"Atelier sur l'Analyse et la Recherche de Textes Scientifiques, CORIA-TALN 2023",fr
hal-04103347,https://hal.science/hal-04103347v1,CASIMIR : un Corpus d'Articles Scientifiques Intégrant les ModIfications et Révisions des auteurs,"Léane Jourdan,Florian Boudin,Nicolas Hernandez,Richard Dufour",2023-06-05,2023,,"Atelier sur l'Analyse et la Recherche de Textes Scientifiques, CORIA-TALN 2023",fr
hal-04084572,https://hal.science/hal-04084572v1,Exploring synonymy relation between multi-word terms in distributional semantic models,"Yizhe Wang,Béatrice Daille,Nabil Hathout",2023-04-21,2023,,10th Language & Technology Conference: Human Language Technologies as a Challenge for Computer Science and Linguisitics (LTC'23),pl
hal-04053934,https://hal.science/hal-04053934v1,"Text revision in Scientific Writing Assistance: An Overview,La révision de texte dans l'assistance à l'écriture scientifique : Un résumé","Léane Jourdan,Florian Boudin,Richard Dufour,Nicolas Hernandez",2023-04-02,2023,,13th International Workshop on Bibliometric-enhanced Information Retrieval (BIR 2023),ie
hal-04052079,https://hal.science/hal-04052079v1,Categorial Dependency Grammars: Analysis and Learning,"Denis Béchet,Annie Foret",2023-03-12,2023,,,
tel-04115427,https://theses.hal.science/tel-04115427v1,"Évaluation en extraction de lexiques bilingues à partir de corpus comparables,Evaluating bilingual lexicon induction using comparable corpora",Martin Laville,2023-02-01,2023,,,
tel-04101102,https://theses.hal.science/tel-04101102v1,"Recommandation de Ressources Éducatives Libres dans le projet X5GON,Recommendation of Open Educational Resources in the X5GON project",Victor Connes,2023-01-05,2023,,,
hal-04722536,https://hal.science/hal-04722536v1,SWGE: Signed Whole-Graph Embedding methods,"Noé Cecillon,Vincent Labatut,Richard Dufour,Nejat Arınık",2023,2023,,,
hal-04309357,https://hal.science/hal-04309357v1,"Annotation d'interactions hôte-microbiote dans des articles scientifiques par similarité sémantique avec une ontologie,Annotating host-microbiota interactions in scientific articles using semantic similarity to an ontology","Oumaima El Khettari,Solen Quiniou,Samuel Chaffron",2023,2023,,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,fr
hal-04148578,https://hal.science/hal-04148578v1,Exploring terminological relations between multi-word terms in distributional semantic models,"Yizhe Wang,Béatrice Daille,Nabil Hathout",2023,2023,Terminology. International Journal of Theoretical and Applied Issues in Specialized Communication,,
hal-04131601,https://hal.science/hal-04131601v2,"Classification de relation pour la génération de mots-clés absents,Relation classification for absent keyphrase generation","Maël Houbre,Florian Boudin,Béatrice Daille",2023,2023,,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,fr
